USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 721
MQ9 R0 for CO = 333
MQ4 R0 for NH4 = 149
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
7|122|44.370079|26.152248|11/11/2017 17:38:20 |318|147|333|107|385.77
7|122|44.370079|26.152246|11/11/2017 17:38:22 |361|148|334|106|385.77
7|122|44.370082|26.152244|11/11/2017 17:38:24 |366|148|333|106|385.77
8|118|44.370086|26.152240|11/11/2017 17:38:26 |369|148|334|106|385.77
8|118|44.370090|26.152240|11/11/2017 17:38:28 |376|148|333|106|385.77
8|118|44.370094|26.152240|11/11/2017 17:38:30 |384|148|333|106|385.77
8|118|44.370094|26.152240|11/11/2017 17:38:32 |389|148|333|105|385.77
8|118|44.370098|26.152244|11/11/2017 17:38:34 |395|148|334|107|385.77
8|118|44.370098|26.152248|11/11/2017 17:38:36 |402|147|333|107|385.77
7|128|44.370105|26.152250|11/11/2017 17:38:38 |409|148|333|107|375.66
7|128|44.370105|26.152254|11/11/2017 17:38:40 |416|148|333|106|385.77
7|128|44.370105|26.152256|11/11/2017 17:38:42 |422|148|333|106|385.77
7|128|44.370105|26.152259|11/11/2017 17:38:44 |427|148|333|106|375.66
7|128|44.370109|26.152259|11/11/2017 17:38:46 |433|148|334|106|385.77
7|128|44.370105|26.152263|11/11/2017 17:38:48 |442|148|333|106|385.77
7|128|44.370105|26.152271|11/11/2017 17:38:50 |447|149|333|107|375.66
7|128|44.370105|26.152275|11/11/2017 17:38:52 |454|148|334|106|375.66
8|118|44.370105|26.152284|11/11/2017 17:38:54 |458|148|333|107|365.73
8|118|44.370109|26.152282|11/11/2017 17:38:56 |463|148|334|106|385.77
8|118|44.370105|26.152292|11/11/2017 17:38:58 |466|148|333|106|375.66
7|128|44.370094|26.152296|11/11/2017 17:39:00 |479|148|333|106|385.77
7|128|44.370094|26.152296|11/11/2017 17:39:02 |481|149|333|106|385.77
7|128|44.370094|26.152296|11/11/2017 17:39:04 |489|148|334|106|385.77
7|128|44.370098|26.152292|11/11/2017 17:39:06 |494|148|334|107|375.66
6|166|44.370094|26.152288|11/11/2017 17:39:08 |506|148|334|107|385.77
6|166|44.370094|26.152288|11/11/2017 17:39:10 |512|148|333|107|385.77
6|166|44.370094|26.152286|11/11/2017 17:39:12 |516|148|334|106|385.77
6|166|44.370105|26.152286|11/11/2017 17:39:14 |522|148|334|107|385.77
5|169|44.370105|26.152288|11/11/2017 17:39:16 |530|148|333|106|385.77
6|166|44.370105|26.152288|11/11/2017 17:39:18 |532|148|333|106|385.77
5|169|44.370098|26.152286|11/11/2017 17:39:20 |541|148|334|106|385.77
6|150|44.370094|26.152288|11/11/2017 17:39:22 |545|148|333|107|385.77
7|125|44.370098|26.152288|11/11/2017 17:39:24 |550|148|334|107|385.77
7|128|44.370109|26.152271|11/11/2017 17:39:26 |556|148|334|106|385.77
8|118|44.370117|26.152271|11/11/2017 17:39:28 |563|148|333|106|385.77
7|144|44.370117|26.152267|11/11/2017 17:39:30 |569|148|334|107|385.77
7|144|44.370090|26.152265|11/11/2017 17:39:32 |576|148|333|107|385.77
7|144|44.370086|26.152259|11/11/2017 17:39:34 |582|148|333|107|396.06
7|144|44.370067|26.152267|11/11/2017 17:39:36 |588|147|334|106|385.77
7|144|44.370056|26.152286|11/11/2017 17:39:38 |597|149|333|107|385.77
8|118|44.370056|26.152307|11/11/2017 17:39:40 |602|148|333|107|385.77
8|118|44.370014|26.152311|11/11/2017 17:39:42 |608|148|333|106|375.66
8|118|44.370010|26.152328|11/11/2017 17:39:44 |615|148|333|105|396.06
7|128|44.370006|26.152334|11/11/2017 17:39:46 |623|148|333|107|375.66
7|128|44.370010|26.152326|11/11/2017 17:39:48 |627|147|333|107|385.77
7|128|44.370006|26.152339|11/11/2017 17:39:50 |636|148|333|107|385.77
7|128|44.370014|26.152345|11/11/2017 17:39:52 |640|148|333|106|375.66
7|128|44.369998|26.152357|11/11/2017 17:39:54 |644|148|333|106|375.66
7|128|44.369998|26.152355|11/11/2017 17:39:56 |651|148|333|105|365.73
6|132|44.369991|26.152351|11/11/2017 17:39:58 |657|148|333|106|385.77
7|128|44.369983|26.152334|11/11/2017 17:40:00 |661|147|333|106|375.66
8|118|44.369991|26.152303|11/11/2017 17:40:02 |668|148|333|106|385.77
6|149|44.369998|26.152271|11/11/2017 17:40:04 |680|148|333|106|385.77
6|149|44.370010|26.152256|11/11/2017 17:40:06 |683|148|333|107|375.66
7|122|44.370014|26.152229|11/11/2017 17:40:08 |689|147|333|105|385.77
7|122|44.370033|26.152196|11/11/2017 17:40:10 |697|148|334|106|375.66
