USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 1316
MQ9 R0 for CO = 273
MQ4 R0 for NH4 = 95
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
5|313|44.369743|26.152257|12/09/2017 13:33:10 |259|94|273|61|439.63
5|313|44.369739|26.152263|12/09/2017 13:33:12 |322|95|273|61|439.63
5|313|44.369735|26.152271|12/09/2017 13:33:14 |356|95|273|61|439.63
5|313|44.369735|26.152273|12/09/2017 13:33:16 |364|95|273|61|439.63
5|313|44.369731|26.152275|12/09/2017 13:33:18 |368|95|272|60|439.63
5|314|44.369735|26.152278|12/09/2017 13:33:20 |372|95|272|60|439.63
5|314|44.369731|26.152280|12/09/2017 13:33:22 |374|95|272|61|419.73
5|314|44.369735|26.152284|12/09/2017 13:33:24 |380|95|273|61|439.63
5|314|44.369735|26.152288|12/09/2017 13:33:26 |382|95|272|60|439.63
5|315|44.369735|26.152290|12/09/2017 13:33:28 |386|95|272|60|439.63
5|315|44.369735|26.152292|12/09/2017 13:33:30 |389|95|272|60|419.73
6|158|44.369731|26.152305|12/09/2017 13:33:32 |393|95|272|60|419.73
6|158|44.369728|26.152307|12/09/2017 13:33:34 |398|95|272|60|419.73
6|158|44.369735|26.152299|12/09/2017 13:33:36 |402|94|272|61|419.73
7|143|44.369743|26.152284|12/09/2017 13:33:38 |407|94|272|60|439.63
7|143|44.369747|26.152275|12/09/2017 13:33:40 |409|93|272|60|439.63
7|143|44.369735|26.152292|12/09/2017 13:33:42 |411|93|272|61|419.73
7|143|44.369731|26.152292|12/09/2017 13:33:44 |414|93|272|61|439.63
7|143|44.369724|26.152294|12/09/2017 13:33:46 |418|93|272|60|439.63
7|143|44.369724|26.152271|12/09/2017 13:33:48 |422|93|272|61|439.63
7|143|44.369739|26.152252|12/09/2017 13:33:50 |417|93|271|60|439.63
7|143|44.369743|26.152248|12/09/2017 13:33:52 |436|93|271|61|439.63
6|158|44.369777|26.152227|12/09/2017 13:33:54 |444|93|271|61|419.73
6|158|44.369796|26.152233|12/09/2017 13:33:56 |449|93|271|61|419.73
6|158|44.369800|26.152236|12/09/2017 13:33:58 |437|93|271|60|419.73
6|158|44.369823|26.152236|12/09/2017 13:34:00 |457|93|270|60|419.73
6|158|44.369823|26.152250|12/09/2017 13:34:02 |462|93|270|60|419.73
6|158|44.369827|26.152267|12/09/2017 13:34:04 |469|93|270|60|419.73
6|158|44.369823|26.152271|12/09/2017 13:34:06 |472|93|270|60|419.73
5|319|44.369823|26.152259|12/09/2017 13:34:08 |478|93|269|60|419.73
6|269|44.369831|26.152242|12/09/2017 13:34:10 |480|93|269|59|400.42
6|269|44.369846|26.152225|12/09/2017 13:34:12 |486|92|268|59|400.42
7|143|44.369869|26.152204|12/09/2017 13:34:14 |490|92|268|59|400.42
7|143|44.369884|26.152187|12/09/2017 13:34:16 |497|92|268|59|400.42
7|143|44.369892|26.152185|12/09/2017 13:34:18 |501|92|267|59|400.42
7|143|44.369907|26.152183|12/09/2017 13:34:20 |503|92|267|59|400.42
7|143|44.369918|26.152187|12/09/2017 13:34:22 |508|92|267|58|400.42
7|143|44.369926|26.152181|12/09/2017 13:34:24 |513|92|268|59|400.42
8|133|44.369949|26.152162|12/09/2017 13:34:26 |511|92|267|59|400.42
8|133|44.369953|26.152158|12/09/2017 13:34:28 |520|92|267|59|400.42
7|134|44.369956|26.152154|12/09/2017 13:34:30 |523|92|267|59|400.42
8|134|44.369949|26.152160|12/09/2017 13:34:32 |525|92|267|59|400.42
7|134|44.369953|26.152151|12/09/2017 13:34:34 |532|92|267|59|400.42
7|134|44.369956|26.152133|12/09/2017 13:34:36 |542|92|267|59|400.42
7|134|44.369960|26.152116|12/09/2017 13:34:38 |542|92|267|59|419.73
8|134|44.369960|26.152105|12/09/2017 13:34:40 |543|92|267|60|400.42
8|134|44.369956|26.152103|12/09/2017 13:34:42 |547|92|268|60|419.73
8|133|44.369953|26.152109|12/09/2017 13:34:44 |550|92|267|60|419.73
8|133|44.369949|26.152120|12/09/2017 13:34:46 |554|92|268|60|419.73
8|133|44.369945|26.152122|12/09/2017 13:34:48 |557|92|268|60|419.73
8|146|44.369945|26.152116|12/09/2017 13:34:50 |561|92|268|60|419.73
8|146|44.369945|26.152124|12/09/2017 13:34:52 |567|92|268|60|419.73
8|146|44.369945|26.152139|12/09/2017 13:34:54 |577|92|268|60|419.73
8|146|44.369941|26.152141|12/09/2017 13:34:56 |578|92|268|61|419.73
8|146|44.369937|26.152132|12/09/2017 13:34:58 |581|93|269|60|419.73
8|146|44.369926|26.152132|12/09/2017 13:35:00 |585|92|268|60|419.73
